clause,label
임차인은 계약 기간 중 매월 정해진 날짜에 차임을 임대인의 계좌로 입금한다.,0
임차인은 임대인의 동의 없이 주택의 구조를 변경할 수 없다.,0
임대인은 주택의 구조적 결함이나 보일러 등 주요 설비의 노후로 인한 고장을 자신의 비용으로 수리하여야 한다.,0
"계약 만료 시 임차인은 주택을 원래 상태로 반환하되, 일상적인 사용으로 인한 마모는 제외한다.",0
임차인이 계약갱신요구권을 행사할 경우 임대료 증액은 기존 금액의 5%를 초과할 수 없다.,0
임차인의 과실로 인해 수도 배관이 동파된 경우 그 수리 비용은 임차인이 부담한다.,0
임대인은 임차인이 입주하는 당일까지 해당 주택에 설정된 근저당권의 말소 등기를 완료하기로 한다.,0
"계약 기간 만료 전 임차인의 사정으로 퇴거할 경우, 중개보수는 임차인이 부담하기로 쌍방 협의한다.",0
"임차인은 실내에서 흡연을 금지하며, 이를 위반하여 도배지가 변색될 경우 재도배 비용을 지불한다.",0
임대인은 임차인의 전입신고 및 확정일자 취득을 확인한 후 당일 추가적인 담보권 설정을 하지 않는다.,0
임차인이 차임을 2기 이상 연체하는 경우 임대인은 법정 절차에 따라 계약을 해지할 수 있다.,0
임대차 계약이 해지되는 경우 임대인은 임차인의 주택 반환과 동시에 보증금을 반환하여야 한다.,0
"월 관리비는 매월 10만 원으로 정하며, 여기에는 공동 전기료와 엘리베이터 유지비가 포함된다.",0
"임차인은 공동주택의 생활 규칙을 준수하며, 야간에 심한 소음이 발생하지 않도록 주의한다.",0
보증금을 전세자금대출로 조달할 경우 임대인은 금융기관의 사실 확인 절차에 적극 협조하기로 한다.,0
계약 해지 시 장기수선충당금은 임차인이 대납한 금액을 임대인이 정산하여 반환한다.,0
주택 내 설치된 에어컨의 냉매 충전 비용은 사용자인 임차인이 부담하는 것을 원칙으로 한다.,0
계약서에 명시되지 않은 사항은 주택임대차보호법 및 민법의 일반적인 관례에 따르기로 한다.,0
임차인은 주택에 하자가 발생한 것을 발견한 즉시 임대인에게 통지하여 보수 여부를 협의하여야 한다.,0
임대인은 임차인의 주거 안정을 위해 계약 기간 동안 해당 주택의 소유권을 안전하게 유지하여야 한다.,0
주택의 매매로 인해 소유자가 변경되더라도 본 임대차 계약은 새로운 매수인에게 동일하게 승계된다.,0
임차인은 임대인의 서면 동의 없이 본 계약상의 임차권을 제3자에게 양도하거나 전대할 수 없다.,0
임대인과 임차인은 천재지변으로 인해 주택이 파손된 경우 서로의 책임이 없음을 인정하고 계약을 해지할 수 있다.,0
임차인은 이사 당일 주택의 시설물 상태를 점검하고 이상이 없을 시 보증금 잔금을 입금한다.,0
임차인의 과실 없는 누수로 인해 아랫집에 피해가 발생한 경우 그 배상 책임은 임대인에게 있다.,0
임차인은 계약 만료 2개월 전까지 계약 갱신 여부를 임대인에게 문서나 문자 메시지로 통보하여야 한다.,0
임대인은 계약 체결 당시 제공한 주택의 기본 옵션 시설물을 임대차 기간 동안 사용할 수 있도록 유지한다.,0
"월세의 지급 방식은 매월 말일 후불로 지급하는 것을 원칙으로 하되, 상호 합의로 변경할 수 있다.",0
임차인이 주택에 유익비를 지출한 경우 임대인의 승인을 얻은 것에 한하여 가치 증가액을 청구할 수 있다.,0
"임차인은 화재보험에 가입할 수 있으며, 임대인은 이에 필요한 주택 정보를 성실히 제공한다.",0
"임차인은 계약 기간 동안 매월 지정된 날짜에 월 차임을 임대인이 지정한 본인 명의의 시중은행 계좌로 입금하기로 하며, 송금 수수료가 발생하는 경우에는 임차인이 이를 전액 부담하는 것으로 합의한다.",0
"임대인은 임차인이 거주하는 동안 주택의 주요 구조부에 해당하는 벽체의 균열, 누수, 보일러의 전면 교체 등 대규모 수선이 필요한 하자가 발생한 경우, 자신의 책임과 비용으로 신속하게 보수 조치를 이행하여야 한다.",0
"임차인은 본 임대차 계약이 종료되어 임차주택을 임대인에게 반환할 때, 입주 당시의 상태로 원상복구하여 반환하는 것을 원칙으로 하되, 통상적인 거주 과정에서 자연스럽게 발생하는 도배지의 변색이나 장판의 마모는 원상복구 범위에서 제외하기로 한다.",0
"임차인이 주택임대차보호법에 규정된 계약갱신요구권을 행사하고자 할 때, 임대인은 정당한 사유가 없는 한 이를 거절할 수 없으며, 이때의 보증금 및 차임의 증액 청구는 기존 금액의 5% 범위 내에서 상호 협의하여 결정한다.",0
"임차인의 고의 또는 명백한 과실로 인하여 주택 내 시설물인 창문 유리, 싱크대 수전, 전등갓 등이 파손되거나 파손의 정도가 심한 경우에는, 임차인이 자신의 비용으로 동일한 품질의 제품으로 수리하거나 교체 비용을 부담하기로 한다.",0
"임대인은 임차인이 이사하여 전입신고를 마치고 확정일자를 부여받아 대항력과 우선변제권을 완전히 확보할 때까지, 해당 주택의 등기부등본상 소유권을 다른 제3자에게 이전하거나 새로운 근저당권 및 담보권을 설정하지 않을 것을 보장한다.",0
"본 임대차 계약 기간이 만료되기 전 임차인의 개인적인 사정이나 부득이한 사유로 인해 중도 해지를 요청하는 경우, 새로운 임차인을 유치하기 위한 부동산 중개보수는 특별한 약정이 없는 한 퇴거하는 임차인이 부담하는 것으로 쌍방이 협의한다.",0
